		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24414.046875	M = 12500000	N = 8	m = 9	n = 100000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 24339 24421 24200 24336 24436 24427 24500 24403  2.785503 0.947089 SUCCESS   0
000000011 24444 24338 24115 24338 24679 24267 24331 24320  8.874004 0.353036 SUCCESS   1
000000101 24397 24680 24389 24211 24531 24627 24239 24277  9.376911 0.311504 SUCCESS   2
000000111 24689 24391 24039 24417 24415 24277 24075 24457 14.929170 0.060537 SUCCESS   3
000001001 24332 24346 24233 24495 24386 24262 24382 24499  3.509758 0.898431 SUCCESS   4
000001011 24347 24912 24398 24349 24459 24588 24432 24218 13.895363 0.084534 SUCCESS   5
000001101 24476 24226 24453 24304 24417 24295 24599 24449  4.339950 0.825224 SUCCESS   6
000001111 24351 24276 24470 24269 24418 24482 24093 24335  6.827562 0.555347 SUCCESS   7
000010001 24499 24312 24354 24396 24340 24321 24459 24737  6.017008 0.645327 SUCCESS   8
000010011 24433 24277 24477 24559 24314 24374 24278 24420  3.146698 0.924817 SUCCESS   9
000010101 24526 24315 24128 24386 24190 24645 24440 24280  9.622822 0.292503 SUCCESS  10
000010111 24352 24715 24352 24599 24445 24682 24235 24319 10.436137 0.235739 SUCCESS  11
000011001 24471 24408 24508 24395 24374 24523 24253 24368  2.287851 0.970891 SUCCESS  12
000011011 24398 24280 24623 24507 24279 24320 24496 24671  7.217230 0.513387 SUCCESS  13
000011101 24571 24680 24185 24616 24393 24391 24595 24398  9.430344 0.307302 SUCCESS  14
000011111 24379 24484 24266 24438 24504 24598 24363 24637  5.205070 0.735450 SUCCESS  15
000100011 24455 24317 24357 24388 24468 24537 24397 24440  1.441341 0.993640 SUCCESS  16
000100101 24438 24544 24310 24366 24371 24317 24505 24501  2.444570 0.964266 SUCCESS  17
000100111 24258 24147 24595 24481 24599 24304 24569 24570  9.640173 0.291194 SUCCESS  18
000101001 24408 24301 24651 24551 24189 24268 24583 24143 11.087641 0.196783 SUCCESS  19
000101011 24443 24431 24221 24336 24284 24443 24375 24287  3.385106 0.907921 SUCCESS  20
000101101 24434 24539 24488 24290 24308 24538 24285 24289  4.057385 0.851909 SUCCESS  21
000101111 24276 24557 24271 24516 24611 24408 24165 24319  7.635952 0.469814 SUCCESS  22
000110011 24559 24483 24593 24263 24312 24511 24305 24669  7.512088 0.482519 SUCCESS  23
000110101 24600 24396 24434 24454 24647 24369 24518 24372  4.481093 0.811322 SUCCESS  24
000110111 24231 24534 24512 24524 24382 24155 24352 24450  6.052260 0.641378 SUCCESS  25
000111001 24313 24256 23800 24273 24770 24479 24528 24282 25.143806 0.001470 FAILURE  26
000111011 24501 24497 24172 24697 24563 24400 24470 24343  7.780815 0.455169 SUCCESS  27
000111101 24412 24093 24735 24368 24621 24268 24409 24498 11.838927 0.158537 SUCCESS  28
000111111 24364 24348 24363 24550 24235 24453 24527 24572  4.204415 0.838225 SUCCESS  29
001000011 24069 24675 24608 24361 24283 24567 24541 24599 13.492879 0.095979 SUCCESS  30
001000101 24455 24621 24458 24631 24532 24513 24527 24524  6.018616 0.645146 SUCCESS  31
001000111 24258 24132 24250 24116 24498 24546 24378 24420 10.398440 0.238166 SUCCESS  32
